,track_id,artists,album_name,track_name,popularity,duration_ms,explicit,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,time_signature,track_genre
8005,7K0WZ75nHqj450OYd3ZywF,The EverLove,Walk Through Fire,I'm Dangerous,65,243329,False,0.691,0.841,8,-7.026,0,0.0436,0.00438,4.44e-05,0.31,0.755,92.025,4,blues
8012,3GQ38rNsi6pPAAXiKUP1QT,Otis Redding,Session Acoustique,My Girl (Mono),1,175853,False,0.74,0.322,0,-9.26,1,0.0399,0.551,0.000767,0.17,0.628,102.889,4,blues
8013,7idmN70yhFrMLLoC4Ufeak,Otis Redding,Thanksgiving Party,Wonderful World,0,191533,False,0.863,0.624,3,-5.637,1,0.0375,0.54,8.43e-06,0.03,0.958,105.49,4,blues
8016,7pSga5MXj7IbOuRCVuadBR,Otis Redding,Thanksgiving Party,I Want to Thank You,0,160840,False,0.537,0.521,3,-11.326,1,0.0606,0.56,0.00665,0.0879,0.961,199.362,4,blues
8017,5OQeh0hl86gwzbhKJlCMLT,Otis Redding,Perfect Christmas Hits,Merry Christmas Baby,0,155560,False,0.71,0.291,5,-14.132,0,0.0338,0.35,0.0,0.128,0.856,101.517,4,blues
8019,5h2YLD9MLviHF25NNYYi9j,Otis Redding,Christmas Time,Merry Christmas Baby,0,155560,False,0.71,0.291,5,-14.132,0,0.0338,0.35,0.0,0.128,0.856,101.517,4,blues
8020,1ygKuPiMlPKKonNecBWlg0,Otis Redding,Holly Jolly Christmas,Merry Christmas Baby,0,155560,False,0.71,0.291,5,-14.132,0,0.0338,0.35,0.0,0.128,0.856,101.517,4,blues
8026,1VNgkKygpjGFRrMRkzMJDh,Otis Redding,Cuddle Up Christmas,Merry Christmas Baby,0,155560,False,0.71,0.291,5,-14.132,0,0.0338,0.35,0.0,0.128,0.856,101.517,4,blues
8029,07uPklAHdtkXATBcS9FvtS,Otis Redding,Christmas Music - Holiday Hits,Merry Christmas Baby,0,155560,False,0.71,0.291,5,-14.132,0,0.0338,0.35,0.0,0.128,0.856,101.517,4,blues
8030,5HfjKD2GdTKylx57dSemch,Otis Redding,All I want For Christmas Is Music,"Merry Christmas, Baby [take 1] - Take 1",0,152933,False,0.746,0.458,11,-8.844,1,0.0312,0.0631,0.0,0.167,0.942,100.429,4,blues
8031,1g6C5sgsJHqW4XAdLyDp9A,Otis Redding,Merry Christmas,Merry Christmas Baby,0,155560,False,0.71,0.291,5,-14.132,0,0.0338,0.35,0.0,0.128,0.856,101.517,4,blues
8032,70mBn5A0cKtwGGMTrr0IXl,Ray Charles,Thanksgiving Party,Mess Around,0,160226,False,0.565,0.962,8,-2.981,1,0.064,0.437,0.0,0.056,0.906,148.804,4,blues
8033,0TYB8WJ6x4DYepwUYIvBVX,Otis Redding,pov: you hear the bells jingle,"Merry Christmas, Baby [take 1] - Take 1",0,152933,False,0.746,0.458,11,-8.844,1,0.0312,0.0631,0.0,0.167,0.942,100.429,4,blues
8037,7mspMgbrDiYlTaEMI7jNaO,Otis Redding,R'n'B Studying,I've Been Loving You Too Long,0,175653,False,0.508,0.535,9,-5.632,1,0.0272,0.565,0.000388,0.196,0.162,74.682,3,blues
8038,7BVhqEVCS8UFWz1iW9dGut,Otis Redding,Thanksgiving Party,I've Been Loving You Too Long - Remastered Mono,0,181666,False,0.499,0.246,9,-12.806,1,0.0325,0.7,0.00227,0.0965,0.152,148.482,3,blues
8039,2nuV7cBiwVt2tU4sDkwj4I,Otis Redding,pov: you saw mommy kissing santa claus,"Merry Christmas, Baby [take 1] - Take 1",0,152933,False,0.746,0.458,11,-8.844,1,0.0312,0.0631,0.0,0.167,0.942,100.429,4,blues
8040,68zhLiVF3gEKnmgtfCCsen,Otis Redding,World's Best Christmas Playlist,"Merry Christmas, Baby [take 1] - Take 1",0,152933,False,0.746,0.458,11,-8.844,1,0.0312,0.0631,0.0,0.167,0.942,100.429,4,blues
8044,5SGoc2TZZ7xGdLQ7kpU06d,Otis Redding,Christmas Dinner,"Merry Christmas, Baby [take 1] - Take 1",0,152933,False,0.746,0.458,11,-8.844,1,0.0312,0.0631,0.0,0.167,0.942,100.429,4,blues
8150,0yqrhHrcWLMjBylHReDN5u,Sam Tinnesz,Babel,Legends Are Made,68,169758,False,0.553,0.89,0,-4.879,1,0.0413,0.123,0.0,0.139,0.674,87.871,4,blues
8151,4sebUbjqbcgDSwG6PbSGI0,Cage The Elephant,Melophobia,Come a Little Closer,74,229346,False,0.44,0.778,1,-1.786,0,0.0327,0.0265,1.04e-06,0.151,0.304,148.038,4,blues
